tableId,tableName,courseId,instructorId,lic,meetingURL,startTime,endTime,duration,capacity,students
T001,Morning Session - C1,C1,I001,I001,https://meet.google.com/abc-xyz-123,1742697600,1742708400,3 hr,100,"[{'userId': 'S001', 'userEmail': 'student001@example.com'}, {'userId': 'S002', 'userEmail': 'student002@example.com'}, {'userId': 'S003', 'userEmail': 'student003@example.com'}, {'userId': 'S100', 'userEmail': 'student100@example.com'}]"
T002,Afternoon Session - C2,C2,I002,I002,https://meet.google.com/def-xyz-456,1742708400,1742719200,3 hr,100,"[{'userId': 'S101', 'userEmail': 'student101@example.com'}, {'userId': 'S102', 'userEmail': 'student102@example.com'}, {'userId': 'S103', 'userEmail': 'student103@example.com'}, {'userId': 'S200', 'userEmail': 'student200@example.com'}]"
T003,Evening Session - C3,C3,I003,I003,https://meet.google.com/ghi-xyz-789,1742719200,1742730000,3 hr,100,"[{'userId': 'S201', 'userEmail': 'student201@example.com'}, {'userId': 'S202', 'userEmail': 'student202@example.com'}, {'userId': 'S300', 'userEmail': 'student300@example.com'}]"
T004,Night Session - C4,C4,I004,I004,https://meet.google.com/jkl-xyz-012,1742697600,1742708400,3 hr,100,"[{'userId': 'S301', 'userEmail': 'student301@example.com'}, {'userId': 'S302', 'userEmail': 'student302@example.com'}, {'userId': 'S400', 'userEmail': 'student400@example.com'}]"
T005,Late Night Session - C5,C5,I005,I005,https://meet.google.com/mno-xyz-345,1742708400,1742719200,3 hr,100,"[{'userId': 'S401', 'userEmail': 'student401@example.com'}, {'userId': 'S402', 'userEmail': 'student402@example.com'}, {'userId': 'S500', 'userEmail': 'student500@example.com'}]"
T006,Morning Session - C1,C1,I001,I001,https://meet.google.com/abc-xyz-123,1742697600,1742708400,3 hr,100,"[{'userId': 'S001', 'userEmail': 'student001@example.com'}, {'userId': 'S002', 'userEmail': 'student002@example.com'}, {'userId': 'S100', 'userEmail': 'student100@example.com'}]"
T007,Afternoon Session - C2,C2,I002,I002,https://meet.google.com/def-xyz-456,1742784000,1742794800,3 hr,100,"[{'userId': 'S101', 'userEmail': 'student101@example.com'}, {'userId': 'S102', 'userEmail': 'student102@example.com'}, {'userId': 'S200', 'userEmail': 'student200@example.com'}]"
T008,Evening Session - C3,C3,I003,I003,https://meet.google.com/ghi-xyz-789,1742794800,1742805600,3 hr,100,"[{'userId': 'S201', 'userEmail': 'student201@example.com'}, {'userId': 'S202', 'userEmail': 'student202@example.com'}, {'userId': 'S300', 'userEmail': 'student300@example.com'}]"
T009,Night Session - C4,C4,I004,I004,https://meet.google.com/jkl-xyz-012,1742805600,1742816400,3 hr,100,"[{'userId': 'S301', 'userEmail': 'student301@example.com'}, {'userId': 'S302', 'userEmail': 'student302@example.com'}, {'userId': 'S400', 'userEmail': 'student400@example.com'}]"
T010,Late Night Session - C5,C5,I005,I005,https://meet.google.com/mno-xyz-345,1742784000,1742794800,3 hr,100,"[{'userId': 'S401', 'userEmail': 'student401@example.com'}, {'userId': 'S402', 'userEmail': 'student402@example.com'}, {'userId': 'S500', 'userEmail': 'student500@example.com'}]"
T011,Morning Session - C1,C1,I001,I001,https://meet.google.com/abc-xyz-123,1742870400,1742881200,3 hr,100,"[{'userId': 'S001', 'userEmail': 'student001@example.com'}, {'userId': 'S002', 'userEmail': 'student002@example.com'}, {'userId': 'S100', 'userEmail': 'student100@example.com'}]"
T012,Afternoon Session - C2,C2,I002,I002,https://meet.google.com/def-xyz-456,1742881200,1742892000,3 hr,100,"[{'userId': 'S101', 'userEmail': 'student101@example.com'}, {'userId': 'S102', 'userEmail': 'student102@example.com'}, {'userId': 'S200', 'userEmail': 'student200@example.com'}]"
T013,Evening Session - C3,C3,I003,I003,https://meet.google.com/ghi-xyz-789,1742892000,1742902800,3 hr,100,"[{'userId': 'S201', 'userEmail': 'student201@example.com'}, {'userId': 'S202', 'userEmail': 'student202@example.com'}, {'userId': 'S300', 'userEmail': 'student300@example.com'}]"
T014,Night Session - C4,C4,I004,I004,https://meet.google.com/jkl-xyz-012,1742870400,1742881200,3 hr,100,"[{'userId': 'S301', 'userEmail': 'student301@example.com'}, {'userId': 'S302', 'userEmail': 'student302@example.com'}, {'userId': 'S400', 'userEmail': 'student400@example.com'}]"
T015,Late Night Session - C5,C5,I005,I005,https://meet.google.com/mno-xyz-345,1742956800,1742967600,3 hr,100,"[{'userId': 'S401', 'userEmail': 'student401@example.com'}, {'userId': 'S402', 'userEmail': 'student402@example.com'}, {'userId': 'S500', 'userEmail': 'student500@example.com'}]"
